p11,r2,g1,c2
gesture,answer
earlier,earlier
april,monday
december,december
slow,slow
march,begin
begin,begin
monday,april
summer,summer
year,monday
september,march
begin,begin
march,monday
april,year
monday,april
summer,summer
september,march
year,summer
slow,slow
december,december
earlier,earlier
april,april
monday,march
march,year
december,december
begin,begin
summer,year
september,march
slow,slow
earlier,earlier
year,summer
