p16,r2,g2,c1
gesture,answer
begin,year
monday,monday
march,year
year,march
april,summer
summer,summer
september,monday
december,december
slow,slow
earlier,earlier
summer,begin
april,april
march,march
september,begin
december,december
monday,monday
slow,slow
begin,year
earlier,march
year,begin
september,begin
begin,september
summer,summer
december,december
year,earlier
monday,march
earlier,begin
march,year
slow,slow
april,april
