p15,r1,g2,c1
gesture,answer
year,year
september,september
march,march
earlier,earlier
monday,monday
summer,summer
april,april
december,december
begin,year
slow,slow
september,september
year,year
begin,begin
april,april
slow,slow
march,march
monday,begin
earlier,earlier
december,december
summer,summer
march,march
summer,summer
earlier,earlier
september,september
april,april
monday,september
slow,slow
year,year
begin,begin
december,december
