p5,r1,g1,c2
gesture,answer
march,year
december,december
september,monday
slow,slow
begin,begin
summer,earlier
april,april
monday,monday
year,summer
earlier,earlier
begin,begin
march,year
summer,earlier
monday,monday
earlier,earlier
september,monday
year,begin
april,summer
slow,slow
december,december
slow,slow
september,monday
april,summer
monday,monday
year,begin
december,december
summer,earlier
begin,begin
march,year
earlier,earlier
