p12,r2,g2,c1
gesture,answer
earlier,earlier
monday,december
year,march
begin,march
september,monday
march,march
summer,summer
april,earlier
slow,slow
december,december
september,monday
april,earlier
monday,monday
march,march
year,april
begin,march
slow,slow
summer,summer
december,december
earlier,year
december,december
monday,monday
year,begin
slow,slow
summer,summer
begin,march
april,earlier
march,march
september,year
earlier,year
