p8,r1,g1,c1
gesture,answer
may,may
februari,februari
fast,may
saturday,saturday
life,life
july,saturday
evening,evening
autumn,autumn
october,weet ik niet
always,always
october,october
always,always
autumn,autumn
februari,februari
life,life
july,july
may,may
saturday,saturday
fast,may
evening,evening
july,july
always,always
fast,october
october,fast
life,life
autumn,autumn
may,october
februari,februari
evening,evening
saturday,saturday
