p8,r1,g1,c2
gesture,answer
march,march
begin,begin
monday,monday
december,december
april,begin
earlier,earlier
summer,summer
year,year
slow,slow
september,monday
slow,slow
year,year
march,march
monday,monday
summer,summer
september,monday
begin,begin
april,begin
december,december
earlier,earlier
september,monday
march,march
year,year
summer,summer
slow,slow
earlier,earlier
december,december
begin,begin
april,begin
monday,monday
