p2,r2,g1,c2
gesture,answer
september,march
slow,slow
monday,march
year,year
december,december
april,earlier
begin,march
march,september
summer,summer
earlier,earlier
december,december
begin,march
september,monday
year,year
summer,summer
slow,slow
earlier,earlier
march,april
april,year
monday,monday
earlier,earlier
summer,summer
september,march
december,december
year,year
slow,slow
march,april
april,begin
monday,monday
begin,september
