p1,r1,g1,c2
gesture,answer
september,monday
april,april
begin,march
december,december
earlier,earlier
march,march
monday,september
slow,slow
year,year
summer,summer
april,april
december,december
earlier,earlier
march,begin
begin,begin
slow,slow
year,year
september,monday
summer,summer
monday,september
april,april
december,december
september,monday
earlier,earlier
slow,slow
summer,summer
monday,september
march,begin
begin,begin
year,year
