p3,r1,g2,c1
gesture,answer
march,march
april,april
summer,summer
begin,begin
earlier,earlier
september,september
slow,slow
year,year
december,december
monday,monday
march,march
september,september
year,year
summer,summer
begin,begin
earlier,earlier
december,december
slow,slow
monday,monday
april,april
earlier,earlier
summer,summer
year,year
march,march
december,december
slow,slow
begin,begin
september,september
april,april
monday,monday
