p10,r1,g2,c1
gesture,answer
monday,september
slow,slow
september,september
april,april
year,year
begin,begin
summer,summer
march,march
december,december
earlier,earlier
monday,monday
slow,slow
summer,summer
december,december
april,year
begin,begin
september,september
year,april
march,march
earlier,earlier
slow,slow
year,year
march,march
april,april
begin,begin
september,september
december,december
summer,summer
monday,monday
earlier,earlier
