p9,r1,g2,c1
gesture,answer
earlier,earlier
march,march
april,april
september,september
begin,begin
slow,slow
year,year
december,december
monday,september
summer,summer
begin,begin
monday,september
april,april
summer,summer
september,september
slow,slow
march,year
december,december
year,march
earlier,earlier
april,april
monday,monday
summer,summer
december,december
march,year
september,september
slow,slow
year,march
earlier,earlier
begin,begin
