p6,r2,g1,c2
gesture,answer
december,december
begin,begin
march,march
year,year
slow,slow
september,september
april,april
monday,monday
earlier,earlier
summer,summer
year,year
september,september
earlier,earlier
december,december
slow,slow
summer,summer
monday,monday
april,april
begin,begin
march,year
monday,monday
year,year
slow,slow
april,april
begin,begin
march,march
summer,summer
september,september
december,december
earlier,earlier
