p14,r2,g1,c2
gesture,answer
december,december
march,march
begin,begin
april,april
slow,slow
september,monday
year,year
summer,earlier
earlier,summer
monday,monday
december,december
begin,begin
monday,september
year,march
april,summer
september,monday
slow,slow
march,march
summer,earlier
earlier,summer
september,september
begin,begin
monday,monday
slow,slow
december,december
year,year
earlier,summer
march,march
april,april
summer,summer
