p16,r2,g2,c2
gesture,answer
always,october
saturday,saturday
februari,februari
fast,fast
autumn,autumn
evening,evening
life,life
may,october
october,october
july,july
fast,fast
life,life
februari,evening
evening,evening
saturday,saturday
october,october
may,februari
autumn,autumn
always,may
july,always
may,october
februari,evening
october,always
evening,evening
life,life
autumn,autumn
fast,fast
saturday,saturday
july,october
always,always
