p4,r2,g2,c1
gesture,answer
april,april
begin,april
september,monday
earlier,earlier
slow,slow
summer,summer
december,december
year,march
march,march
monday,monday
september,monday
year,march
march,march
december,december
april,april
begin,begin
slow,slow
earlier,earlier
summer,summer
monday,september
earlier,earlier
year,march
march,year
monday,september
april,april
december,december
slow,slow
begin,begin
september,monday
summer,summer
