p13,r1,g1,c2
gesture,answer
december,december
begin,september
earlier,earlier
april,weet ik niet
march,march
monday,year
summer,summer
september,year
year,weet ik niet
slow,slow
september,year
december,december
march,march
year,weet ik niet
monday,year
slow,slow
april,weet ik niet
begin,march
summer,summer
earlier,earlier
year,weet ik niet
monday,weet ik niet
slow,slow
september,year
summer,summer
december,december
earlier,earlier
begin,march
march,march
april,weet ik niet
